sample_idx,true_label,target_label,adv_label,success,queries,l2_mag
2,0,5,5,True,26,1436.3931
2,0,8,8,True,26,1417.1475
3,0,9,9,True,27,1469.6036
4,0,4,4,True,26,1241.0975
4,0,5,5,True,25,1247.0485
4,0,8,8,True,25,1093.9922
5,0,8,8,True,26,1519.8832
9,0,8,8,True,25,1267.899
15,0,2,2,True,25,1314.3223
15,0,8,8,True,25,966.8919
18,0,8,8,True,25,1207.2158
19,0,8,8,True,26,1471.5244
21,0,2,2,True,26,1450.1279
21,0,9,9,True,25,1146.8116
26,0,2,2,True,26,1526.0037
26,0,5,5,True,25,1206.9204
26,0,8,8,True,25,1186.754
27,0,8,8,True,25,1043.5104
29,0,5,5,True,25,1271.0126
31,0,2,2,True,26,1430.8137
34,0,5,5,True,26,1516.8741
35,0,2,2,True,26,1518.2539
35,0,8,8,True,26,1417.2783
37,0,5,5,True,26,1504.1628
45,0,8,8,True,25,1145.7081
49,0,8,8,True,26,1436.9847
50,0,5,5,True,25,1336.2257
53,0,2,2,True,25,1089.844
57,0,8,8,True,26,1432.4783
58,0,2,2,True,26,1429.7073
63,0,5,5,True,26,1512.803
63,0,8,8,True,25,1128.106
66,0,5,5,True,26,1369.6218
67,0,2,2,True,25,1330.601
72,0,5,5,True,26,1380.7893
74,0,4,4,True,26,1377.8966
81,0,2,2,True,26,1495.208
81,0,8,8,True,26,1409.5922
82,0,5,5,True,26,1504.2483
83,0,8,8,True,25,1111.0094
84,0,8,8,True,26,1362.1501
86,0,8,8,True,24,700.02716
89,0,8,8,True,26,1422.5038
98,0,4,4,True,26,1262.9192
99,0,8,8,True,25,1265.3434
100,1,2,2,True,25,1193.8475
100,1,4,4,True,27,1453.1992
101,1,2,2,True,26,1376.6644
101,1,8,8,True,26,1368.3783
103,1,2,2,True,25,1078.1526
103,1,8,8,True,26,1423.2874
104,1,2,2,True,27,1518.0438
104,1,3,3,True,26,1452.209
106,1,2,2,True,26,1457.6368
106,1,6,6,True,25,1245.8567
106,1,8,8,True,25,1022.34045
107,1,2,2,True,25,1018.4557
108,1,2,2,True,25,1167.7906
109,1,2,2,True,26,1395.8785
109,1,4,4,True,25,1178.1155
110,1,2,2,True,25,1232.1315
111,1,4,4,True,25,1161.0431
112,1,2,2,True,25,1246.0526
112,1,4,4,True,25,1027.2478
112,1,8,8,True,26,1117.2444
113,1,2,2,True,26,1339.5779
114,1,2,2,True,25,1257.9849
115,1,2,2,True,26,1454.4658
115,1,8,8,True,26,1322.8372
116,1,2,2,True,26,1345.8351
116,1,8,8,True,25,1105.7626
117,1,2,2,True,26,1432.7672
117,1,4,4,True,26,1278.1631
119,1,2,2,True,26,1352.8877
119,1,8,8,True,25,1123.8483
120,1,2,2,True,26,1327.2261
121,1,2,2,True,26,1380.7354
122,1,2,2,True,26,1238.0231
122,1,3,3,True,26,1502.6217
122,1,8,8,True,26,1435.3773
123,1,2,2,True,26,1519.1488
124,1,2,2,True,25,1052.688
124,1,8,8,True,25,966.2215
125,1,2,2,True,25,1176.8287
125,1,4,4,True,27,1355.2598
126,1,2,2,True,27,1457.1825
127,1,4,4,True,26,1429.0977
128,1,2,2,True,26,1273.4873
128,1,8,8,True,25,916.982
129,1,4,4,True,27,1355.0808
129,1,8,8,True,26,1346.5363
130,1,3,3,True,27,1520.1029
131,1,8,8,True,26,1498.1522
133,1,2,2,True,25,1216.4329
133,1,8,8,True,25,1005.8295
134,1,2,2,True,25,1167.8035
134,1,3,3,True,27,1378.4539
134,1,6,6,True,26,1395.2451
135,1,2,2,True,25,1236.6859
136,1,2,2,True,26,1316.5819
137,1,2,2,True,27,1463.0619
137,1,3,3,True,27,1505.9369
137,1,6,6,True,26,1468.3195
137,1,8,8,True,26,1355.4313
138,1,2,2,True,27,1319.528
138,1,8,8,True,26,1468.0883
140,1,2,2,True,25,1159.3688
141,1,2,2,True,25,1131.4663
142,1,2,2,True,27,1431.9011
143,1,2,2,True,25,1150.6324
143,1,3,3,True,25,1158.7472
144,1,2,2,True,26,1296.9557
144,1,8,8,True,26,1231.0991
145,1,2,2,True,25,1170.0022
145,1,4,4,True,25,1066.7849
146,1,2,2,True,26,1302.5222
146,1,3,3,True,27,1378.7037
146,1,4,4,True,25,1050.1614
147,1,2,2,True,26,1444.6979
147,1,8,8,True,26,1473.8514
148,1,3,3,True,26,1456.1625
150,1,2,2,True,26,1411.5101
150,1,8,8,True,26,1174.9242
151,1,2,2,True,26,1505.6135
152,1,2,2,True,25,1094.3706
153,1,2,2,True,27,1473.672
153,1,8,8,True,25,1032.1816
154,1,2,2,True,26,1351.6316
155,1,2,2,True,26,1278.3224
156,1,2,2,True,26,1427.1724
157,1,3,3,True,27,1476.9681
157,1,8,8,True,25,1010.00793
158,1,2,2,True,25,1209.8467
158,1,8,8,True,25,1051.6158
159,1,2,2,True,25,1190.4457
159,1,3,3,True,27,1505.496
159,1,8,8,True,26,1236.9891
160,1,6,6,True,26,1503.7227
160,1,8,8,True,25,975.87756
161,1,2,2,True,27,1502.9321
161,1,8,8,True,26,1344.7587
162,1,6,6,True,26,1521.049
162,1,8,8,True,25,929.11786
163,1,8,8,True,26,1500.5615
164,1,4,4,True,26,1352.5425
165,1,8,8,True,25,1072.3474
166,1,8,8,True,26,1234.3367
167,1,2,2,True,25,1228.7672
168,1,2,2,True,26,1301.952
168,1,4,4,True,25,1035.8683
168,1,6,6,True,25,906.75134
168,1,8,8,True,26,1256.4506
169,1,2,2,True,25,1246.6643
170,1,3,3,True,26,1515.8763
171,1,2,2,True,27,1518.1594
172,1,2,2,True,25,1242.9614
172,1,4,4,True,27,1301.1879
173,1,2,2,True,26,1355.9882
173,1,8,8,True,26,1261.5717
174,1,2,2,True,26,1280.4354
175,1,2,2,True,26,1240.836
175,1,8,8,True,26,1299.9408
176,1,4,4,True,26,1307.5646
178,1,3,3,True,26,1521.2482
179,1,2,2,True,27,1410.3801
180,1,2,2,True,26,1408.6582
180,1,3,3,True,26,1093.7129
181,1,2,2,True,25,1249.772
182,1,8,8,True,25,1131.6523
183,1,2,2,True,27,1499.62
184,1,8,8,True,25,1030.7565
185,1,2,2,True,25,1240.8062
185,1,8,8,True,25,1033.2052
186,1,2,2,True,25,1195.4547
186,1,8,8,True,25,1092.547
187,1,3,3,True,27,1511.1052
187,1,5,5,True,26,1480.9457
187,1,8,8,True,26,1367.2662
188,1,2,2,True,25,1189.6113
189,1,2,2,True,25,1076.2035
189,1,8,8,True,25,1120.6538
190,1,2,2,True,26,1350.6035
191,1,2,2,True,26,1455.0275
191,1,4,4,True,25,1015.4994
192,1,2,2,True,27,1512.288
193,1,8,8,True,26,1317.4714
194,1,2,2,True,26,1381.776
196,1,2,2,True,26,1510.3914
196,1,8,8,True,25,1074.4688
197,1,3,3,True,27,1483.6893
197,1,8,8,True,26,1516.3436
198,1,8,8,True,26,1512.0612
199,1,2,2,True,25,1205.5177
199,1,8,8,True,27,1475.6385
202,2,3,3,True,26,1269.5704
220,2,3,3,True,26,1510.4738
220,2,7,7,True,25,984.92535
222,2,3,3,True,25,1304.7302
226,2,3,3,True,25,1248.7197
235,2,8,8,True,26,1278.2594
250,2,8,8,True,26,1517.1144
262,2,3,3,True,25,1058.5302
262,2,8,8,True,26,1463.0386
272,2,3,3,True,27,1520.45
274,2,3,3,True,25,1115.3995
274,2,5,5,True,26,1520.2855
279,2,3,3,True,26,1514.1473
280,2,8,8,True,26,1493.7275
286,2,3,3,True,25,974.32025
286,2,8,8,True,25,1225.429
287,2,8,8,True,26,1461.0374
304,3,8,8,True,25,1241.4004
307,3,6,6,True,26,1120.1438
307,3,8,8,True,26,1324.6422
334,3,1,1,True,27,1511.0334
335,3,5,5,True,25,1299.5038
336,3,1,1,True,26,1294.4686
336,3,8,8,True,24,594.255
337,3,8,8,True,26,1511.4731
345,3,0,0,True,26,1389.588
347,3,8,8,True,26,1260.2877
348,3,8,8,True,25,1236.7954
361,3,2,2,True,25,973.1413
364,3,8,8,True,27,1502.5754
365,3,1,1,True,27,1485.0239
372,3,1,1,True,27,1510.24
380,3,1,1,True,26,1308.0558
389,3,1,1,True,27,1510.9996
398,3,8,8,True,27,1511.1277
400,4,2,2,True,26,1455.7905
404,4,5,5,True,26,1491.0483
409,4,7,7,True,26,1477.2681
410,4,3,3,True,26,1472.165
412,4,5,5,True,26,1520.4614
413,4,2,2,True,25,1281.1963
416,4,2,2,True,26,1375.0542
418,4,2,2,True,26,1364.6216
418,4,7,7,True,27,1504.8701
421,4,2,2,True,26,1480.2196
423,4,7,7,True,26,1434.8767
427,4,2,2,True,26,1521.0411
429,4,2,2,True,26,1432.9825
433,4,7,7,True,26,1469.0647
434,4,2,2,True,25,1058.8489
434,4,7,7,True,26,1331.092
435,4,2,2,True,26,1514.4148
437,4,9,9,True,26,1450.7633
440,4,3,3,True,26,1407.1439
442,4,8,8,True,26,1404.4131
445,4,3,3,True,26,1463.1647
448,4,2,2,True,26,1456.6259
450,4,8,8,True,27,1521.1528
456,4,2,2,True,26,1374.4326
456,4,7,7,True,26,1416.0035
457,4,7,7,True,26,1261.2764
459,4,2,2,True,26,1466.3458
460,4,2,2,True,26,1475.2133
461,4,3,3,True,27,1518.7976
461,4,5,5,True,26,1402.2957
462,4,2,2,True,26,1442.9987
462,4,8,8,True,26,1517.1609
464,4,2,2,True,26,1519.1859
465,4,3,3,True,27,1350.6787
465,4,8,8,True,27,1516.6453
472,4,3,3,True,26,1395.8037
474,4,7,7,True,26,1498.9607
476,4,5,5,True,27,1492.8087
476,4,8,8,True,26,1456.731
480,4,3,3,True,26,1414.7943
483,4,3,3,True,26,1521.772
483,4,5,5,True,25,1244.088
483,4,9,9,True,27,1512.5254
485,4,1,1,True,27,1424.4012
485,4,2,2,True,27,1506.5776
487,4,2,2,True,26,1438.358
488,4,7,7,True,26,1404.7701
491,4,2,2,True,26,1331.6925
492,4,2,2,True,26,1278.8221
494,4,7,7,True,26,1445.9585
496,4,5,5,True,26,1357.5062
497,4,8,8,True,26,1494.911
498,4,5,5,True,26,1459.5822
498,4,7,7,True,26,1335.0112
498,4,8,8,True,26,1515.9957
499,4,9,9,True,27,1462.0198
502,5,3,3,True,26,1523.2054
507,5,3,3,True,26,1251.215
509,5,1,1,True,26,1511.7305
509,5,3,3,True,26,1478.067
511,5,1,1,True,27,1493.1162
512,5,1,1,True,26,1508.6935
516,5,3,3,True,26,1522.9948
518,5,3,3,True,26,1443.8978
519,5,3,3,True,25,1350.0612
529,5,3,3,True,25,1158.3549
536,5,3,3,True,26,1400.772
540,5,1,1,True,26,1328.1532
540,5,4,4,True,27,1487.4841
546,5,3,3,True,26,1522.8145
552,5,3,3,True,25,1378.4528
555,5,0,0,True,26,1496.2058
555,5,6,6,True,26,1357.0763
558,5,1,1,True,27,1312.2432
563,5,1,1,True,27,1391.3864
567,5,3,3,True,25,1042.0034
567,5,8,8,True,26,1342.994
570,5,8,8,True,26,1440.5471
571,5,3,3,True,26,1490.8121
577,5,1,1,True,27,1340.7968
580,5,3,3,True,26,1232.1018
583,5,8,8,True,25,1293.942
591,5,1,1,True,27,1469.6017
610,6,4,4,True,25,1260.8021
618,6,8,8,True,26,1510.1897
623,6,4,4,True,26,1429.0532
631,6,4,4,True,26,1494.1312
636,6,4,4,True,26,1335.641
652,6,3,3,True,26,1519.4318
665,6,3,3,True,26,1452.8059
671,6,4,4,True,25,1016.3951
678,6,4,4,True,26,1504.1582
680,6,4,4,True,26,1210.6234
682,6,3,3,True,26,1519.7471
683,6,8,8,True,26,1374.2871
692,6,8,8,True,25,1155.1775
694,6,3,3,True,26,1523.4966
701,7,8,8,True,26,1474.1831
702,7,3,3,True,25,1353.7836
706,7,3,3,True,26,1426.7529
706,7,8,8,True,26,1511.2269
707,7,3,3,True,25,1365.8982
707,7,8,8,True,25,1133.892
709,7,2,2,True,26,1400.7998
709,7,3,3,True,26,1514.8802
710,7,3,3,True,25,1274.1143
710,7,8,8,True,26,1422.438
715,7,3,3,True,26,1525.38
717,7,1,1,True,26,1452.1112
717,7,3,3,True,26,1514.6221
719,7,3,3,True,25,1186.0043
731,7,1,1,True,27,1436.5566
735,7,3,3,True,25,1297.5654
735,7,8,8,True,25,1269.7385
737,7,1,1,True,27,1513.6403
739,7,3,3,True,26,1459.3121
740,7,2,2,True,26,1442.9435
740,7,3,3,True,26,1475.7845
740,7,8,8,True,26,1436.3628
741,7,8,8,True,26,1517.0946
747,7,3,3,True,26,1431.6725
753,7,1,1,True,27,1346.8456
753,7,8,8,True,27,1463.9299
757,7,3,3,True,26,1515.2317
759,7,3,3,True,26,1442.3113
760,7,8,8,True,26,1440.3197
761,7,1,1,True,27,1384.562
761,7,8,8,True,27,1468.6599
768,7,2,2,True,25,1048.9847
768,7,3,3,True,26,1444.3625
773,7,2,2,True,25,1255.7535
773,7,3,3,True,25,1034.7106
773,7,8,8,True,25,1064.6727
777,7,8,8,True,26,1425.1361
780,7,8,8,True,26,1452.2007
786,7,1,1,True,26,1364.1177
786,7,3,3,True,26,1457.967
791,7,8,8,True,26,1520.975
794,7,2,2,True,26,1163.6743
794,7,8,8,True,26,1257.2184
798,7,3,3,True,25,1155.2484
803,8,3,3,True,26,1354.1096
810,8,3,3,True,25,1100.0686
815,8,3,3,True,26,1516.5065
818,8,3,3,True,26,1193.9895
820,8,3,3,True,26,1403.9601
822,8,3,3,True,27,1446.9592
822,8,4,4,True,24,799.735
843,8,3,3,True,26,1504.223
846,8,3,3,True,26,1514.3619
