sample_idx,true_label,target_label,adv_label,success,queries,l2_mag
0,0,2,2,True,25,1047.6678
0,0,3,3,True,25,1030.7697
0,0,4,4,True,25,1085.3055
0,0,5,5,True,25,948.6327
0,0,6,6,True,24,539.54517
0,0,7,7,True,24,803.62305
0,0,9,9,True,24,809.6839
1,0,1,1,True,27,1375.9204
1,0,2,2,True,25,1359.4518
1,0,3,3,True,26,1317.8292
1,0,4,4,True,27,1440.6027
1,0,5,5,True,25,1041.304
1,0,6,6,True,24,696.68933
1,0,7,7,True,25,902.1192
1,0,9,9,True,25,955.3151
2,0,1,1,True,27,1461.2635
2,0,3,3,True,26,1419.3276
2,0,4,4,True,25,1206.1232
2,0,5,5,True,25,955.7369
2,0,6,6,True,25,1018.39825
2,0,7,7,True,25,1026.3805
2,0,9,9,True,25,1222.4987
3,0,1,1,True,26,823.1877
3,0,2,2,True,25,1155.6405
3,0,3,3,True,25,1046.0411
3,0,4,4,True,27,1359.4562
3,0,5,5,True,25,974.3526
3,0,6,6,True,26,920.4347
3,0,7,7,True,26,1016.00543
3,0,9,9,True,26,953.72217
4,0,4,4,True,25,1001.4435
4,0,5,5,True,26,1391.4004
4,0,6,6,True,24,839.81366
4,0,7,7,True,24,554.4276
4,0,9,9,True,24,586.597
5,0,2,2,True,26,1510.3179
5,0,3,3,True,25,1230.6738
5,0,5,5,True,25,1226.0146
5,0,6,6,True,25,1043.715
5,0,7,7,True,26,1127.8625
5,0,9,9,True,26,1235.9264
6,0,3,3,True,25,1290.012
6,0,4,4,True,27,1510.3146
6,0,5,5,True,26,1407.5653
6,0,6,6,True,26,1049.1234
6,0,7,7,True,25,817.0575
6,0,9,9,True,25,1075.83
7,0,1,1,True,26,1382.0431
7,0,2,2,True,26,1481.9386
7,0,3,3,True,25,975.3912
7,0,4,4,True,26,1403.8455
7,0,5,5,True,26,1362.1527
7,0,6,6,True,25,916.62585
7,0,7,7,True,24,801.6327
7,0,9,9,True,26,1399.7871
8,0,1,1,True,27,1176.0192
8,0,2,2,True,26,1400.5938
8,0,3,3,True,26,1168.7267
8,0,4,4,True,26,958.1571
8,0,5,5,True,25,1054.6265
8,0,6,6,True,24,630.5688
8,0,7,7,True,25,680.1544
8,0,9,9,True,25,1029.2993
9,0,1,1,True,26,1213.5415
9,0,2,2,True,24,859.1007
9,0,3,3,True,25,1069.3325
9,0,4,4,True,26,1462.3738
9,0,5,5,True,25,1271.1774
9,0,6,6,True,25,949.55304
9,0,7,7,True,26,1146.9285
9,0,8,8,True,25,1084.4976
9,0,9,9,True,25,906.2875
10,0,1,1,True,27,1278.3877
10,0,3,3,True,25,953.4453
10,0,4,4,True,27,1421.4197
10,0,5,5,True,26,1435.6235
10,0,6,6,True,27,1245.9
10,0,7,7,True,24,689.8116
10,0,9,9,True,24,625.31995
11,0,3,3,True,26,1515.2251
11,0,5,5,True,25,1314.5444
11,0,6,6,True,25,1031.0931
11,0,7,7,True,24,726.7393
