sample_idx,true_label,target_label,adv_label,success,queries,l2_mag
0,0,2,2,True,25,1246.1613
0,0,4,4,True,26,1512.5624
3,0,8,8,True,25,1062.8914
7,0,2,2,True,25,1128.8972
7,0,6,6,True,24,893.713
8,0,6,6,True,25,1280.5471
15,0,8,8,True,23,169.74098
16,0,8,8,True,24,850.5933
18,0,8,8,True,25,718.1608
20,0,6,6,True,23,335.41766
21,0,2,2,True,25,1133.3
23,0,8,8,True,25,1224.655
26,0,2,2,True,24,870.2942
26,0,6,6,True,25,866.70526
27,0,8,8,True,25,1206.6097
30,0,2,2,True,25,1192.9933
31,0,2,2,True,24,427.09836
31,0,8,8,True,25,722.742
35,0,2,2,True,24,638.70886
35,0,6,6,True,25,1156.5427
38,0,6,6,True,25,1269.4774
44,0,2,2,True,24,640.7886
50,0,6,6,True,26,1505.5444
53,0,2,2,True,24,589.8627
53,0,8,8,True,24,78.01282
58,0,2,2,True,24,669.7955
58,0,8,8,True,25,683.68634
60,0,2,2,True,25,1107.3789
62,0,2,2,True,24,711.2974
62,0,4,4,True,27,1255.9458
67,0,2,2,True,26,1472.779
67,0,8,8,True,26,1518.8983
70,0,2,2,True,24,711.1224
70,0,8,8,True,25,912.0132
71,0,2,2,True,25,1274.1538
72,0,2,2,True,25,1337.2472
72,0,6,6,True,26,1491.6427
73,0,2,2,True,25,1400.0271
77,0,8,8,True,24,754.24066
85,0,2,2,True,25,988.0607
86,0,2,2,True,24,777.73456
90,0,6,6,True,24,472.34732
92,0,4,4,True,24,840.3624
92,0,6,6,True,23,453.6871
94,0,8,8,True,27,1512.2299
98,0,4,4,True,24,709.71405
98,0,6,6,True,24,816.86414
100,1,2,2,True,23,53.15073
100,1,3,3,True,27,1462.3102
100,1,4,4,True,23,97.98979
100,1,5,5,True,25,1103.4469
100,1,6,6,True,25,1068.2252
100,1,7,7,True,23,462.2099
100,1,8,8,True,23,49.729267
101,1,2,2,True,23,70.59037
101,1,6,6,True,26,1493.1249
101,1,8,8,True,23,63.93747
102,1,2,2,True,23,102.176315
102,1,3,3,True,23,270.03705
102,1,4,4,True,24,105.35654
102,1,7,7,True,25,461.42606
102,1,8,8,True,23,62.0967
103,1,2,2,True,23,71.693794
103,1,4,4,True,25,1000.08
103,1,5,5,True,24,818.9591
103,1,6,6,True,26,1496.1052
103,1,8,8,True,23,65.81793
104,1,0,0,True,26,1235.9664
104,1,2,2,True,23,107.88883
104,1,3,3,True,23,35.65109
104,1,4,4,True,23,296.8653
104,1,5,5,True,23,51.439285
104,1,6,6,True,23,428.6957
104,1,8,8,True,23,269.83328
105,1,2,2,True,23,160.16241
105,1,3,3,True,23,194.34248
105,1,4,4,True,23,227.59833
105,1,5,5,True,23,68.942
105,1,6,6,True,23,117.923706
105,1,7,7,True,27,1396.0237
105,1,8,8,True,23,82.53484
106,1,2,2,True,23,90.01666
106,1,3,3,True,24,615.3495
106,1,5,5,True,24,69.17369
106,1,6,6,True,23,321.30203
106,1,8,8,True,23,49.668903
107,1,2,2,True,23,70.92249
107,1,6,6,True,25,1130.7233
107,1,8,8,True,23,82.38932
108,1,2,2,True,23,52.36411
108,1,4,4,True,25,1049.7233
108,1,8,8,True,23,65.74953
109,1,2,2,True,23,71.35124
109,1,4,4,True,24,799.9194
109,1,7,7,True,23,321.86798
109,1,8,8,True,23,99.70958
110,1,2,2,True,23,106.817604
110,1,3,3,True,23,316.41113
110,1,5,5,True,26,1482.5522
110,1,8,8,True,23,81.54753
