sample_idx,true_label,target_label,adv_label,success,queries,l2_mag
0,0,2,2,True,25,1246.4799
0,0,4,4,True,26,1310.8756
0,0,6,6,True,25,1015.0128
4,0,6,6,True,26,1469.1879
5,0,6,6,True,26,1497.3586
8,0,6,6,True,25,1248.1943
15,0,2,2,True,24,908.51965
15,0,8,8,True,25,1014.42444
24,0,2,2,True,26,1442.1522
24,0,6,6,True,25,1011.6131
26,0,2,2,True,26,1371.5228
26,0,3,3,True,26,1511.8073
26,0,5,5,True,25,1224.3129
26,0,6,6,True,26,1240.0109
26,0,9,9,True,26,1303.9264
30,0,2,2,True,25,1264.0182
31,0,2,2,True,25,1199.5374
31,0,3,3,True,26,1502.2693
31,0,4,4,True,26,1306.3506
31,0,5,5,True,26,1522.781
31,0,6,6,True,26,1443.3287
31,0,8,8,True,26,1386.4873
31,0,9,9,True,27,1517.5361
35,0,2,2,True,25,1097.7532
35,0,3,3,True,26,1472.143
35,0,6,6,True,25,1172.7792
43,0,2,2,True,25,1217.2942
46,0,6,6,True,26,1512.575
52,0,2,2,True,25,1131.806
53,0,2,2,True,25,1123.8217
53,0,3,3,True,26,1456.8981
53,0,4,4,True,27,1441.2415
53,0,5,5,True,26,1409.6705
53,0,6,6,True,26,1503.4727
53,0,8,8,True,26,1410.792
56,0,9,9,True,26,1459.9376
57,0,2,2,True,25,1280.8451
58,0,9,9,True,26,1323.892
60,0,6,6,True,25,1048.5127
61,0,2,2,True,26,1516.708
62,0,6,6,True,25,1280.521
62,0,9,9,True,26,1410.5488
65,0,6,6,True,26,1417.7263
69,0,6,6,True,26,1524.6068
70,0,6,6,True,26,1410.5956
77,0,2,2,True,26,1517.2745
77,0,6,6,True,26,1393.8035
81,0,2,2,True,26,1311.5502
82,0,2,2,True,26,1352.6674
82,0,4,4,True,26,1230.1033
82,0,9,9,True,26,1415.7136
85,0,2,2,True,26,1508.8976
85,0,3,3,True,26,1496.0939
85,0,6,6,True,26,1492.9495
86,0,2,2,True,25,1086.9812
86,0,3,3,True,26,1431.197
86,0,4,4,True,26,1288.6873
86,0,5,5,True,25,1150.6411
86,0,6,6,True,25,966.97107
86,0,8,8,True,25,1181.4728
87,0,6,6,True,25,1169.9747
89,0,2,2,True,26,1524.6426
90,0,6,6,True,26,1432.4493
91,0,6,6,True,26,1457.727
92,0,2,2,True,26,1437.1527
92,0,4,4,True,25,1158.7281
92,0,6,6,True,25,1100.0063
98,0,4,4,True,26,1246.6812
98,0,6,6,True,25,953.6262
100,1,0,0,True,27,1475.384
100,1,2,2,True,24,767.8665
100,1,3,3,True,26,1130.6622
100,1,4,4,True,25,979.3967
100,1,5,5,True,26,1397.9192
100,1,6,6,True,26,1200.8226
100,1,7,7,True,24,846.1873
100,1,8,8,True,24,745.7312
100,1,9,9,True,26,1319.2153
101,1,2,2,True,24,906.9592
101,1,4,4,True,26,1270.6066
101,1,7,7,True,27,1420.7054
101,1,8,8,True,25,1006.4755
102,1,2,2,True,25,1009.9713
102,1,3,3,True,26,1356.4686
102,1,4,4,True,25,998.4208
102,1,7,7,True,26,960.3015
102,1,8,8,True,25,858.8364
103,1,0,0,True,27,1513.89
103,1,2,2,True,24,784.34814
103,1,3,3,True,25,1209.9421
103,1,4,4,True,26,1196.0092
103,1,5,5,True,26,1440.577
103,1,6,6,True,26,1377.5804
103,1,7,7,True,25,1064.242
103,1,8,8,True,24,816.3247
104,1,2,2,True,25,1135.0485
104,1,3,3,True,25,1161.7909
104,1,4,4,True,24,839.21747
104,1,5,5,True,26,1179.2019
104,1,6,6,True,25,1186.3557
104,1,7,7,True,24,765.8146
