sample_idx,true_label,target_label,adv_label,success,queries,l2_mag
202,2,0,0,True,26,1441.3597
239,2,7,7,True,25,924.87244
262,2,0,0,True,26,1440.0455
262,2,3,3,True,25,1237.884
262,2,7,7,True,26,1356.3838
298,2,1,1,True,27,1385.7904
307,3,0,0,True,26,1502.5282
324,3,5,5,True,25,1222.9297
333,3,7,7,True,24,524.58844
335,3,5,5,True,23,54.571056
336,3,1,1,True,27,1424.238
392,3,8,8,True,24,678.43494
531,5,0,0,True,26,1428.3066
531,5,6,6,True,25,1194.8745
545,5,3,3,True,26,1487.1583
571,5,3,3,True,26,1437.2546
574,5,6,6,True,26,1406.6406
656,6,0,0,True,26,1382.9183
709,7,1,1,True,25,853.1565
730,7,4,4,True,26,1422.4862
822,8,5,5,True,23,299.63312
855,8,9,9,True,26,1483.7307
859,8,6,6,True,26,1312.5098
860,8,5,5,True,25,924.3003
867,8,4,4,True,26,865.267
872,8,6,6,True,26,1333.3372
873,8,4,4,True,23,251.583
876,8,7,7,True,26,1314.7657
895,8,7,7,True,26,1131.0314
895,8,9,9,True,24,412.5215
901,9,4,4,True,26,1291.6819
917,9,4,4,True,26,1293.3623
928,9,7,7,True,25,1118.3153
938,9,7,7,True,25,1329.1223
954,9,4,4,True,26,1279.6202
984,9,7,7,True,25,1293.305
995,9,4,4,True,26,1343.4445
